using device: cuda
Model parameters: 135.18M
loaded 338025 tokens
1 epoch = 165 batches
Starting training...
step 3110 | loss: 1.5303 | dt: 2768.86ms | tok/sec: 739.65
step 3120 | loss: 1.5144 | dt: 2668.25ms | tok/sec: 767.54
step 3130 | loss: 1.6874 | dt: 2684.58ms | tok/sec: 762.87
step 3140 | loss: 1.5967 | dt: 2672.88ms | tok/sec: 766.22
step 3150 | loss: 1.4894 | dt: 2685.02ms | tok/sec: 762.75
step 3160 | loss: 1.5369 | dt: 2780.46ms | tok/sec: 736.57
step 3170 | loss: 1.5521 | dt: 2766.64ms | tok/sec: 740.25
step 3180 | loss: 1.5144 | dt: 2710.92ms | tok/sec: 755.46
step 3190 | loss: 1.5083 | dt: 2749.40ms | tok/sec: 744.89
step 3200 | loss: 1.4799 | dt: 2678.04ms | tok/sec: 764.74
step 3210 | loss: 1.5245 | dt: 2707.56ms | tok/sec: 756.40
step 3220 | loss: 1.3773 | dt: 2688.40ms | tok/sec: 761.79
step 3230 | loss: 1.5153 | dt: 2684.65ms | tok/sec: 762.86
step 3240 | loss: 1.4807 | dt: 2753.05ms | tok/sec: 743.90
step 3250 | loss: 1.4735 | dt: 2755.05ms | tok/sec: 743.36
step 3260 | loss: 1.3735 | dt: 2719.84ms | tok/sec: 752.98
step 3270 | loss: 1.2075 | dt: 2843.99ms | tok/sec: 720.12
step 3280 | loss: 1.2305 | dt: 2703.84ms | tok/sec: 757.44
step 3290 | loss: 1.1408 | dt: 2739.76ms | tok/sec: 747.51
step 3300 | loss: 1.2520 | dt: 2892.35ms | tok/sec: 708.07
step 3310 | loss: 1.3056 | dt: 2716.91ms | tok/sec: 753.80
step 3320 | loss: 1.2803 | dt: 2681.74ms | tok/sec: 763.68
step 3330 | loss: 1.2850 | dt: 2725.97ms | tok/sec: 751.29
step 3340 | loss: 1.2028 | dt: 2692.16ms | tok/sec: 760.73
step 3350 | loss: 1.1584 | dt: 2698.27ms | tok/sec: 759.00
step 3360 | loss: 1.0396 | dt: 2998.41ms | tok/sec: 683.03
step 3370 | loss: 1.0607 | dt: 2903.31ms | tok/sec: 705.40
step 3380 | loss: 1.1164 | dt: 3033.53ms | tok/sec: 675.12
step 3390 | loss: 1.1108 | dt: 2886.95ms | tok/sec: 709.40
step 3400 | loss: 1.0315 | dt: 2752.63ms | tok/sec: 744.02
step 3410 | loss: 1.1562 | dt: 2726.22ms | tok/sec: 751.22
step 3420 | loss: 1.1321 | dt: 2708.28ms | tok/sec: 756.20
step 3430 | loss: 0.9760 | dt: 2681.26ms | tok/sec: 763.82
step 3440 | loss: 0.8877 | dt: 2717.40ms | tok/sec: 753.66
step 3450 | loss: 0.9401 | dt: 2842.15ms | tok/sec: 720.58
step 3460 | loss: 0.9696 | dt: 2802.88ms | tok/sec: 730.68
step 3470 | loss: 0.8294 | dt: 2881.42ms | tok/sec: 710.76
